Id,Label,Attribut,Kernwort,Bedeutung,Autor:in,Jahr,Jahrhundert
etwas aufs Tapet bringen,etwas aufs Tapet bringen,Metapher,Tapet,etwas zur Sprache bringen,,,
etwas der Vergessenheit übergeben,etwas der Vergessenheit übergeben,Metapher,übergeben,vergessen,,,
etwas drückt jemanden unaussprechlich nieder,etwas drückt jemanden unaussprechlich nieder,Metapher,niederdrücken,etwas bereitet einem große Sorgen,,,
etwas drückt jemanden zu Boden,etwas drückt jemanden zu Boden,Metapher,Boden,etwas macht jemanden handlungsunfähig,,,
etwas eine Richtung geben,etwas eine Richtung geben,Metapher,Richtung,"etwas Immaterielles, wie z.B. das eigene Wesen formen",,,
Etwas fällt wie Nebel von den Augen,Etwas fällt wie Nebel von den Augen,Metapher,Nebel,plötzlich wird etwas erkannt,,,
etwas haftet an einem,etwas haftet an einem,Metapher,haften,etwas lässt einen lange nachdenken,,,
etwas in der Hand haben,etwas in der Hand haben,Metapher,Hand,die Kontrolle über etwas haben,,,
etwas in Dunkel hüllen,etwas in Dunkel hüllen,Metapher,Dunkel,etwas geheim halten,,,
etwas in Schranken halten,etwas in Schranken halten,Metapher,Schranken,etwas kontrollieren,,,
"etwas ist für jemanden ein schöner Regenborgen, welcher alle Wolken der Betrübnis vertreibt","etwas ist für jemanden ein schöner Regenborgen, welcher alle Wolken der Betrübnis vertreibt",Metapher,Regenbogen,eine Freude sein,,,
Etwas ist in ein Schicksal verwebt,Etwas ist in ein Schicksal verwebt,Metapher,verwebt,etwas gehört zum Leben von jemandem dazu,,,
etwas mit Füßen treten,etwas mit Füßen treten,Metapher,treten,etwas gering schätzen,,,
etwas mit vollen Händen nehmen,etwas mit vollen Händen nehmen,Metapher,Hände,viel annehmen,,,
etwas über jemanden verhängen,etwas über jemanden verhängen,Metapher,verhängen,jemandem etwas auftragen,,,
etwas wallt mit großer Flut hinunter,etwas wallt mit großer Flut hinunter,Metapher,Flut,etwas wird vergessen,,,
etwas zu Boden wiegen,etwas zu Boden wiegen,Metapher,wiegen,gewichtiger sein als etwas anderes,,,
"Euer kindisches Begehren und Streben – führte uns sanft in die Unschuldswelt zurück, erhielt den zärtesten Bildern unsres Gemüths ihre frischen Farben, und klärte die Quellen des heiligsten innren Lebens auf.","Euer kindisches Begehren und Streben – führte uns sanft in die Unschuldswelt zurück, erhielt den zärtesten Bildern unsres Gemüths ihre frischen Farben, und klärte die Quellen des heiligsten innren Lebens auf.",Metapher,Quelle,"Das kindliche Verhalten zu sehen, schenkt inneren Frieden",,,
Familienzweig,Familienzweig,Metapher,Familienzweig,genealogische Linie,,,
Feld,Feld,Metapher,Feld,Arbeitsgebiet,,,
Feld von Möglichkeiten,Feld von Möglichkeiten,Metapher,Feld,sehr viele Möglichkeiten,,,
Fersengeld geben,Fersengeld geben,Metapher,Fersengeld,sich beeilen,,,
Fesseln,Fesseln,Metapher,Fesseln,Beschränkung durch etwas Immateriellen wie z.B. moralische Ansprüche,,,
Fesseln zerreißen,Fesseln zerreißen,Metapher,Fesseln,einen als unzumutbar empfundenen Zustand verändern,,,
flach,flach,Metapher,flach,"einfach, simpel",,,
Forschungsfelder eröffnen,Forschungsfelder eröffnen,Metapher,eröffnen,neue Forschungsfelder entdecken,,,
freie Hand haben,freie Hand haben,Metapher,Hand,alles tun können,,,
Freude und Schmerz erschienen und flohen,Freude und Schmerz erschienen und flohen,Metapher,fliehen,"Gefühle stellen sich ein, gehen aber schnell wieder vorbei",,,
"Früh fand er die Grenzen der Menschheit zu enge und stieß mit wilder Kraft dagegen an, um sie über die Würklichkeit hinüberzurücken","Früh fand er die Grenzen der Menschheit zu enge und stieß mit wilder Kraft dagegen an, um sie über die Würklichkeit hinüberzurücken",Metapher,Grenzen,Er war rebellisch,,,
"Gang, in den scheinbar regellosen Verschiedenheiten der menschlichen Leidenschaften unter allen Himmelsstrichen","Gang, in den scheinbar regellosen Verschiedenheiten der menschlichen Leidenschaften unter allen Himmelsstrichen",Metapher,Gang,beschrieben wird ein Akt des Lernens,,,
gebrochen sein,gebrochen sein,Metapher,gebrochen,sehr deprimiert sein,,,
Gedankenwelt,Gedankenwelt,Metapher,Gedankenwelt,alle Gedanken einer Person,,,
gedrückt von einer schweren Schuldenlast,gedrückt von einer schweren Schuldenlast,Metapher,gedrückt,unter Schulden leiden,,,
geheime Seligkeiten aufschließen,geheime Seligkeiten aufschließen,Metapher,aufschließen,Geheimnisse verraten,,,
Geist und Grazie zum Band des Umgangs weben,Geist und Grazie zum Band des Umgangs weben,Metapher,Band ,sehr stilvoll sein,,,
"gemeiniglich schlossen sie den Käfig erst, wenn der Vogel entflogen war.","gemeiniglich schlossen sie den Käfig erst, wenn der Vogel entflogen war.",Metapher,entflogen,unbesonnen handeln,,,
"Gemütsart, aus der nur für Momente ein kauzischer Humor wie der grüne Mond hinter schwarzen Wolken hervorblitzte","Gemütsart, aus der nur für Momente ein kauzischer Humor wie der grüne Mond hinter schwarzen Wolken hervorblitzte",Metapher,Mond,Beschreibung des Charakters einer Figur,,,
geradeausgehend,geradeausgehend,Metapher,geradeausgehend,zielstrebig,,,
getroffen von einem Schlag,getroffen von einem Schlag,Metapher,Schlag,ein Unglück erlebt haben,,,
Gewerkswelt,Gewerkswelt,Metapher,Gewerkswelt,Berufsleben,,,
Gewisse Bäume sind nur zum Abhauen gut,Gewisse Bäume sind nur zum Abhauen gut,Metapher,Abhauen,einige Menschen sind wertlos,,,
gigantisch über den Trümmern der Vorzeit hinschreiten,gigantisch über den Trümmern der Vorzeit hinschreiten,Metapher,Trümmer,etwas nie da Gewesenes geschehen lassen,,,
"gleichsam rotseidne Vorhänge zieht die junge Seele plötzlich vor dem fremden Auge über, das unberufen will hineinsehen","gleichsam rotseidne Vorhänge zieht die junge Seele plötzlich vor dem fremden Auge über, das unberufen will hineinsehen",Metapher,Vorhänge,das Innere dieser Person bleibt Fremden vergorgen,,,
Glied einer Kette sein,Glied einer Kette sein,Metapher,Glied,an etwas teilhaben,,,
Gnade vor den Augen von jemandem finden,Gnade vor den Augen von jemandem finden,Metapher,Augen,von jemandem entschuldigt werden,,,
Gott lässt schon keinen von der Hand fallen,Gott lässt schon keinen von der Hand fallen,Metapher,Hand,Gott kümmert sich um jeden,,,
