Ursprung,Ziel,Typ
in etwas untergehen ,Faustine,Ungerichtet
Bodensatz der Gesellschaft,Faustine,Ungerichtet
wie aus Erz gegossen,Faustine,Ungerichtet
eine Gestalt zerschneiden,Faustine,Ungerichtet
Feld von Möglichkeiten,Faustine,Ungerichtet
von Haus aus,Faustine,Ungerichtet
freie Hand haben,Faustine,Ungerichtet
etwas in Schranken halten,Faustine,Ungerichtet
in alle vier Winde verflattern,Faustine,Ungerichtet
etwas eine Richtung geben,Faustine,Ungerichtet
den Kürzeren ziehen,Faustine,Ungerichtet
den Regenbogen bewohnen,Faustine,Ungerichtet
den Orion bewohnen,Faustine,Ungerichtet
einem anderen in die Äpfel gehen oder in die Kirschen,Der Sonnenwirt,Ungerichtet
"ein Boden werden, darin der Same zu Früchten aufgehen kann",Der Sonnenwirt,Ungerichtet
um den Finger wickeln,Der Sonnenwirt,Ungerichtet
auf dem höchsten Gaul sitzen,Der Sonnenwirt,Ungerichtet
den Pflug über das trotzige Herz gehen lassen,Der Sonnenwirt,Ungerichtet
"durch die breite Pforte in den Himmel eingehen, statt durch die schmale",Der Sonnenwirt,Ungerichtet
Hinter Glas und Rahmen aufheben,Der Sonnenwirt,Ungerichtet
Reich Gottes,Der Sonnenwirt,Ungerichtet
den Schlüssel zu einer sonst verschlossenen Tür haben,Der Sonnenwirt,Ungerichtet
"in den Händen von jemandem sein, jemandem in die Hände fallen / geraten",Heiteretei,Ungerichtet
bei der Hand sein,Heiteretei,Ungerichtet
jemandem (einen) Spiegel vorhalten,Heiteretei,Ungerichtet
auf dem Teller präsentieren,Heiteretei,Ungerichtet
wie vom Himmel niedergeschüttet,Das Heideprinzeßchen,Ungerichtet
querfeldein galloppieren,Das Heideprinzeßchen,Ungerichtet
den lügnerischen Spiegel in hochauflösende Atome zerstampfen,Das Heideprinzeßchen,Ungerichtet
sich aus dem Staub machen,Das Heideprinzeßchen,Ungerichtet
Perlen in der Tasche haben,Das Heideprinzeßchen,Ungerichtet
die tiefste Einsamkeit webte um das schlafende Geheimnis,Das Heideprinzeßchen,Ungerichtet
Zügel der Wissenschaft,Das Heideprinzeßchen,Ungerichtet
Fersengeld geben,Das Heideprinzeßchen,Ungerichtet
jemandem die blinden Augen öffnen,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
jemandem unter die Augen treten,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
die Bahn bis zum Anfang zurückzumessen,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
jemandem einen Blick in die dunkeln Regionen seines Daseins gewähren,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
tiefer in die Dornen der Wiedersprüche geraten,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
sich in die Gefahr stürzen,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
in den Hades zurückweisen,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
über dem Kopf zusammenbrechen / zusammenstürzen,"Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht), Rodrich",Ungerichtet
Der Schande ein hübsches Mäntelchen umhängen,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
Mutter Natur,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
Der Quell der Befriedigung fließt für jeden,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
auf der Retorte seines Skepticismus alle Gefühle zu Gedanken verflüchtigt,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
getroffen von einem Schlag,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
"der Standpunkt, den jemand eingenommen hat",Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
Strom des vollen jugendlichen Lebens künstlich zurückstauen,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
"jemanden aus einem Strudel reißen, in welchem er unter zu sinken droht",Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
Dem Ziele unserer Wallfahrt sich nähern,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
die ödeste Wüste in das blühendste Paradies umschaffen,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
wie ein Federball im Wurfe talab gesendet lustig hüpft,Die Ahnen,Ungerichtet
etwas auf dem Buckel haben,"Irrungen, Wirrungen",Ungerichtet
Fersengeld geben,"Irrungen, Wirrungen",Ungerichtet
das Feld seiner Liebhabereien,Die Akten des Vogelsangs,Ungerichtet
auf dem hohen Pferde sitzen,Die Akten des Vogelsangs,Ungerichtet
Purzelbäume schlagen,Die Akten des Vogelsangs,Ungerichtet
wie ein Stein auf den Kopf gefallen,Die Akten des Vogelsangs,Ungerichtet
in den Wind und ins Blaue reden,Die Akten des Vogelsangs,Ungerichtet
Zähne zusammen beißen,Die Akten des Vogelsangs,Ungerichtet
an der Nase herum führen,Sibilla Dalmar,Ungerichtet
grenzenlose Freude,Sibilla Dalmar,Ungerichtet
die Zweige eines Geschlechts gehen auseinander,Leben und Lüge,Ungerichtet
kleines Hindernis,Leben und Lüge,Ungerichtet
über etwas hinweg bringen,Leben und Lüge,Ungerichtet
sich von keinem an die Nasenspitze fassen lassen,Leben und Lüge,Ungerichtet
